annos,at_created,chron_section,Notebooks_Marx,entry_id_clean,about,entry_id_base,E,start_approx,_id,meet,notes,published_in,reading,entry_id,writing,where,social_network,year,day_end,id,pub,not_in_chronicle,interaction_with,visit,labeled,manual_label,ME_Register,at_id,header,category,entry_num,month_start,travel,Register_ref,03_Register_auto,month_end,M,len,header_id,end_approx,book,meeting_of,read,ME_Register_auto,Entities,day_start,write,ME_Cyclopedia_id,text
,2020-12-17T01:44:33.000Z,MAY,,18_1.0,,18_1,,,ObjectId(6311812db9368b44567ee09f),false,,,,18_1_1,,,,1818,,1,false,,,false,false,,,rec3s8yAhVIHsuTKM,1. Birth (M).,Birth,0,May,false,,,,checked,137,1,,,,,,,5,false,18:1,"Marx is born at 2 a.m. in Trier, at Brückergasse 664 (now Brückenstrasse 10), into which the family had moved only days before, on May 1."
,2020-12-17T01:44:33.000Z,OCTOBER,,19_1.0,,19_1,,,ObjectId(6311812db9368b44567ee0a0),false,,,,19_1_2,,,,1819,,2,false,,Marx_Heinrich,false,false,,,recA3hB8OMXHhWSd3,1. Residence.,Family,1,Oct,false,,,,,147,1,,,,,,,1,false,19:1,Heinrich Marx (father) buys the house at Simeonsgasse 1070 (now Simeonstrasse 8). The family moves in later in the year or perhaps early next year.
,2020-12-17T01:44:33.000Z,NOVEMBER,,20_1.0,,20_1,checked,,ObjectId(6311812db9368b44567ee0a1),false,,,,20_1_3,,,,1820,,3,false,,,false,false,,,recm1Ys0p04onN8tK,1. Birth (E).,Birth,2,Nov,false,,,,,35,1,,,,,,,28,false,20:1,Engels is born at 9 p.m. in Barmen.
,2020-12-17T01:44:33.000Z,JANUARY,,21_1.0,,21_1,checked,,ObjectId(6311812db9368b44567ee0a2),false,,,,21_1_4,,,,1821,,4,false,,,false,false,,,recLkVY1Lx15b0YJN,1. Baptism.,Family,3,Jan,false,,,,,153,1,,,,,,,18,false,21:1,E is baptized in the Reformed Evangelical Parish in neighboring Elberfeld. Godparents: grandfather Caspar E and grandmother Franciska Christina van Haar.
,2020-12-17T01:44:33.000Z,MAY,,23_1.0,,23_1,,,ObjectId(6311812db9368b44567ee0a3),false,,,,23_1_5,,,,1823,,5,false,,,false,false,,,rectj5aynG9sCwTKw,1. Grandmother.,Family,4,May,false,,,,,61,1,,,,,,,13,false,23:1,"M’s paternal grandmother, Eva Moses Lvov Marx, dies in Trier."
,2020-12-17T01:44:33.000Z,AUGUST,,24_1.0,,24_1,,,ObjectId(6311812db9368b44567ee0a4),false,,,,24_1_6,,,,1824,,6,false,,,false,false,,,rec37F6AwSk6SnhYM,1. Marx Family Baptism.,Family,5,Aug,false,,,,checked,187,1,,,,,,,28,false,24:1,"The children of the M family—Sophie, Hermann, Henriette, Louise, Emilie, Caroline, as well as Karl—are baptized in the Evangelical church. (For the father’s baptism, see *Marx, Heinrich.)"
,2020-12-17T01:44:33.000Z,NOVEMBER,,25_1.0,,25_1,,,ObjectId(6311812db9368b44567ee0a5),false,,,,25_1_7,,,,1825,,7,false,,,false,false,,,recd32771b5Oxf5q9,1. Mother’s Baptism.,Family,,Nov,false,,,,,59,1,,,,,,,20,false,25:1,M’s mother Henriette is baptized in the Evangelical church.
,2020-12-17T01:44:33.000Z,APRIL,,26_1.0,,26_1,,,ObjectId(6311812db9368b44567ee0a6),false,,,,26_1_8,,,,1826,,8,false,,Marx_Eduard,false,false,,,recfsGptj63qvpZzd,1. Brother.,"Family,Birth",,Apr,false,,,,,27,1,,,,,,,17,false,26:1,M’s brother Eduard is born.
,2020-12-17T01:44:33.000Z,APRIL,,27_1.0,,27_1,,,ObjectId(6311812db9368b44567ee0a7),false,,,,27_1_9,,,,1827,,9,false,,,false,false,,,recUiVuptTapPioBY,1. Uncle.,Family,,Apr,false,,,,,66,1,,,,,,,,false,27:1,"M’s paternal uncle, Rabbi Samuel M—the city’s rabbi-dies in Trier."
,2020-12-17T01:44:33.000Z,APRIL,,29_1.0,,29_1,checked,,ObjectId(6311812db9368b44567ee0a8),false,,,,29_1_10,,,,1829,,10,false,,,false,false,,,recDJMCs1KtTYAEwq,1. School (E),"Life Events,School",,Apr,false,,,,,83,1,,,,,,,,false,29:1,E enters the Barmen municipal school (Stadtschule) which he will attend until 1834.
