entry_id,year,id,ME_Cyclopedia_id,chron_section,header,header_id,start_approx,month_start,day_start,end_approx,month_end,day_end,text,len,M,E,category,interaction_with,meeting_of,about,read,published_in,where,annos,book,Register_ref,reading,writing,social_network,write,pub,visit,meet,travel,labeled,manual_label,not_in_chronicle,notes,ME_Register,Notebooks_Marx,ME_Register_auto,Entities,03_Register_auto
18_1_1,1818,1,18:1,MAY,1. Birth (M).,1,,May,5,,,,"Marx is born at 2 a.m. in Trier, at Brückergasse 664 (now Brückenstrasse 10), into which the family had moved only days before, on May 1.",137,checked,,Birth,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
19_1_2,1819,2,19:1,OCTOBER,1. Residence.,1,,Oct,1,,,,Heinrich Marx (father) buys the house at Simeonsgasse 1070 (now Simeonstrasse 8). The family moves in later in the year or perhaps early next year.,147,,,Family,Marx_Heinrich,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
20_1_3,1820,3,20:1,NOVEMBER,1. Birth (E).,1,,Nov,28,,,,Engels is born at 9 p.m. in Barmen.,35,,checked,Birth,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
21_1_4,1821,4,21:1,JANUARY,1. Baptism.,1,,Jan,18,,,,E is baptized in the Reformed Evangelical Parish in neighboring Elberfeld. Godparents: grandfather Caspar E and grandmother Franciska Christina van Haar.,153,,checked,Family,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
23_1_5,1823,5,23:1,MAY,1. Grandmother.,1,,May,13,,,,"M’s paternal grandmother, Eva Moses Lvov Marx, dies in Trier.",61,,,Family,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
24_1_6,1824,6,24:1,AUGUST,1. Marx Family Baptism.,1,,Aug,28,,,,"The children of the M family—Sophie, Hermann, Henriette, Louise, Emilie, Caroline, as well as Karl—are baptized in the Evangelical church. (For the father’s baptism, see *Marx, Heinrich.)",187,checked,,Family,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
25_1_7,1825,7,25:1,NOVEMBER,1. Mother’s Baptism.,1,,Nov,20,,,,M’s mother Henriette is baptized in the Evangelical church.,59,,,Family,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
26_1_8,1826,8,26:1,APRIL,1. Brother.,1,,Apr,17,,,,M’s brother Eduard is born.,27,,,"Family,Birth",Marx_Eduard,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
27_1_9,1827,9,27:1,APRIL,1. Uncle.,1,,Apr,,,,,"M’s paternal uncle, Rabbi Samuel M—the city’s rabbi-dies in Trier.",66,,,Family,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
29_1_10,1829,10,29:1,APRIL,1. School (E),1,,Apr,,,,,E enters the Barmen municipal school (Stadtschule) which he will attend until 1834.,83,,checked,"Life Events,School",,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
30_1_11,1830,11,30:1,OCTOBER,1. School (M),1,,Oct,,,,,M enters Trier’s Friedrich-Wilhelm-Gymnasium (high school) (-* 35:3).,69,checked,,"Life Events,School",,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
32_1_12,1832,12,32:1,OCTOBER,1. School Club,1,,Oct,,,,,(1832-34) M may well have become a member of a “Young German Literary Circle” which exists at the high school.,110,checked,,Friendship Logistics,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
33_1_13,1833,13,33:1,OCTOBER,1. Poetry,1,,Oct,,,,,"M’s sister Sophie starts a poetry notebook, which she will work on until 1837; it contains some poems by young M, incl his earliest known (see #M661). ",151,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,M_661
33_1_14,1833,14,33:1,DECEMBER,1. Poetry,1,,Dec,20,,,,Young E writes a poem “To my grandfather” (#E811).,50,,checked,Writing,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,
34_1_15,1834,15,34:1,JANUARY,1.    Father as Liberal.,1,,Jan,18,,,,"M’s father Heinrich participates in, and gives a political toast at, a liberal banquet in favor of representative government, held by the Casino Society; as a result he comes under surveillance by the Prussian government. ",222,,,"Family,Speech,Legal Issues,Group Meeting",Marx_Heinrich,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
34_1_16,1834,16,34:1,JANUARY,1.    Father as Liberal.,1,,Jan,25,,,,A similar banquet leads to government harassment of many participants.,70,,,"Legal Issues,Group Meeting",,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
34_2_17,1834,17,34:2,MARCH,2.    Confirmation.,2,,Mar,23,,,,"M is confirmed in the Evangelical church, by Pastor J. A.  Küpper, religious instructor at M’s high school. The godfathers include three of Heinrich M's fellow lawyers and a government official.",194,checked,,Life Events,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
34_3_19,1834,19,34:3,OCTOBER,3.    Schooldays (E).,3,,Oct,20,,,,"He enters the Elberfeld Gymnasium (high school) [-> 37:12]. For some indications about E’s work there, see #E472.5.",115,,checked,"Life Events,School",,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
34_3_18,1834,18,34:3,SEPTEMBER,3.    Schooldays (E).,3,,Sep,25,,,,E graduates from the Barmen municipal school [<— 1829].,55,,checked,Life Events,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_2_22,1835,22,35:2,AUGUST,2. Final Exams.,2,checked,Aug,10,,,,"Religious essay (#M956); also Greek trans (of Sophocles’ Trachiniae, verses 140-76, passage headed “Deianira”). ",112,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_2_21,1835,21,35:2,AUGUST,2. Final Exams.,2,,Aug,10,,Aug,17,M takes final examinations at the Trier Gymnasium and writes examination exercises (Abiturientenarbeiten).,106,checked,,School,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,"M_251,M_956,M_729"
35_2_23,1835,23,35:2,AUGUST,2. Final Exams.,2,,Aug,12,,,,  German essay (#M729).,23,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_2_24,1835,24,35:2,AUGUST,2. Final Exams.,2,,Aug,13,,,,"French trans (of passage headed “Exemples, qui servent ä prouver, que l’homme peut motiver les influences du climat, qu’il habite”). ",133,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_2_25,1835,25,35:2,AUGUST,2. Final Exams.,2,,Aug,14,,,,"Mathematics exercise (one each in geometry, trigonometry, and algebra). ",72,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_2_26,1835,26,35:2,AUGUST,2. Final Exams.,2,,Aug,15,,,,Latin essay (#M251).,20,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_2_27,1835,27,35:2,AUGUST,2. Final Exams.,2,,Aug,17,,,,"Extempore Latin trans (of passage headed “De Hemsterhusii moribus”). (For the text of all exercises, incl those not in the Register, see MEGA I, 1.2:164 or New Mega I, 1:449.)",175,checked,,Writing,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_3_28,1835,28,35:3,SEPTEMBER,3.   Graduation.,3,,Sep,24,,,,"M graduates from the Trier Gymnasium [«- 30:1); receives his graduation certificate, with a summary of his schoolwork.",118,checked,,"School,Life Events",,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_4_29,1835,29,35:4,OCTOBER,4. University,4,checked,Oct,13,,,,"M leaves Trier for Bonn, to begin studies at the university there.",66,checked,,"Travel,School",,,,,,Bonn,"('move','M','Bonn')",,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
35_4_30,1835,30,35:4,OCTOBER,4. University,4,,Oct,15,,,,"M matriculates at the university, beginning studies in the Law Department (jurisprudence).",90,checked,,"School,Reading/Study",,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
