id,full_name,short_names,last_name,first_name,gabriel_desc,desc,glossary_entry,glossary_desc,mega_digital_url,mega_digital_url2,category,birth,death,nationality_full,nationality,active_in,born,orgs,link,link2,link2_note,Chronicle_Interaction,num_interactions,Chronicle_OCR 2,Chronicle_About,Notebooks_Marx,num_nb,num_pages_cumulative,ME_Library_Books_autostart,chronicle_letters_link,letters_chronicle_2,letters_chronicle_3,Notebooks_Texts,Notebooks_Texts_manual,ME_Register,Chronicle_Yearly,Chronicle_Yearly 2,chronicle_where,chronicle_published_in,MECW_Letters,ME_Register_auto,Chronicle_Yearly 3,Chronicle_Yearly 4,Chronicle_Yearly 5,Chronicle_Yearly 6,interaction_prop,num_interactions_marx,marx_interaction_prop,Padover_Letters,Padover_Letters 2,m_first_meeting_date,m_first_meeting_link,m_first_meeting_notes,m_first_meeting_year,num_letters_from_m,Geldsystem,Associates,Proudhon_Cahiers,Num_About,Imported table,N0_Nietzsche_Books_Read,N0_Nietzsche_Library,B0_Bastiat_Correspondence,JSM00_Letters
_Gretchen,,,,Gretchen,,,,,,,Person,,,,,,,,,,,44_34_333,1,,,,0,0,,C333,,,,,,,,,,,,,,,,0.0001,0,0.0000,,,,,,,,,,,0,,,,,
Aachen,,,Aachen,,,,,,,,City,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,"61_18_7386,69_56_3579",,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Abarbanel,,,Abarbanel,,,,,,,,Person,,,,,,,,,,,"62_20_2516,62_62_2600",2,,,,0,0,,"C2516,C2600",,,,,,,,,,,,,,,,0.0003,2,0.0004,,,,,,,,,,,0,,,,,
Abbott_Leonard D.,,,Abbott,Leonard D.,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,ST_1,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Abendroth_Heinrich von,,,Abendroth,Heinrich von,,,,,,,Person,,,,,,,,,,,,0,,,,0,0,1_Terrainstudien zu dem Rückzüge des Varus und den Feldzügen des Germanicus. Eine militairische Beleuchtung. Mit einem einleitenden Vorwort von Eduard von Wietersheim. Nebst einer Karte,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Aberdeen_G.,,,Aberdeen,G.,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,"""1042_Aberdeen_G._[Speech in the House of Lords on December 27, 1852.] In: The Times, No. 21310, December 28, 1852"",""1089_Aberdeen_G._[Speech in the House of Lords] March 4, 1853. In: The Times, No. 21368, March 5, 1853."",""1090_Aberdeen_G._[Speech in the House of Lords] July 7, 1853. In: The Times, No. 21475, July 8, 1853."",""1091_Aberdeen_G._[Speech in the House of Lords] August 9, 1853. In: The Times, No. 21503, August 10, 1853."",""1092_Aberdeen_G._[Speech in the House of Lords] August 12, 1853. In: The Times, No. 21506, August 13, 1853."",""1093_Aberdeen_G._[Speech in the House of Lords] Lord Aberdeen to Mr. Monsell, June 3, 1853. In: The Times, No. 21447, June 6, 1853"",""1243_Aberdeen_G._[Speech in the House of Lords] March 31, 1854. In: The Times, No. 21704, April 1, 1854."",""1244_Aberdeen_G._[Speech in the House of Lords] April 3, 1854. In: The Times, No. 21706, April 4, 1854."",""1245_Aberdeen_G._[Speech in the House of Lords] June 19, 1854. In: The Times, No. 21772, June 20, 1854."",""1246_Aberdeen_G._[Speech in the House of Lords] June 23, 1854. In: The Times, No. 21776, June 24, 1854."",""1247_Aberdeen_G._[Speech in the House of Lords] June 26, 1854. In: The Times, No. 21778, June 27, 1854."",""1248_Aberdeen_G._[Speech in the House of Lords] July 24, 1854. In: The Times, No. 21802, July 25, 1854."",""1249_Aberdeen_G._[Speech in the House of Lords] December 12, 1854. In: The Times, No. 21923, December 13, 1854."",""1250_Aberdeen_G._[Speech in the House of Lords] January 26, 1855. In: The Times, No. 21962, January 27, 1855"",""1251_Aberdeen_G._[Speech in the House of Lords] February 1, 1855. In: The Times, No. 21967, February 2, 1855"",""1252_Aberdeen_G._[Letter to Monsell of June 3, 1853.] In: The Times, No. 21447, June 6, 1853."",""1253_Aberdeen_G._[Letter to Russell of November 21, 1854.] In: The Times, No. 21962, January 27, 1855."",""1254_Aberdeen_G._[Letter to Russell of November 30, 1854.] In: The Times, No. 21962, January 27, 1855.""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
About_Edmond,,,About,Edmond,,,,,,,Person,,,,,,,,,,,,0,,60_35_2426,,0,0,,,,,,,,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,1,,,,,
Abt,,,Abt,,,,,,,,Person,,,,,,,,,,,"61_49_6771,61_46_7353",2,,"61_49_6766,61_57_7359",,0,0,,,,,,,,,,,,,,,,,,0.0003,2,0.0004,,,,,,,,,,,2,,,,,
Acquaviva_Claudio,,,Acquaviva,Claudio,,,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,"""1043_Acquaviva_Claudio_Industriae ad curandos animae morbos, Florentiae, 1600""",,,,,,,,,,,,0.0000,0,0.0000,,,,,,,,,,,0,,,,,
Adam,,,Adam,,,,,,,,Person,,,,,,,,,,,50_15_1205,1,,,,0,0,,C1205,,,,,,,,,,,,,,,,0.0001,1,0.0002,,,,,,,,,,,0,,,,,
