source,reprint,full_text,day_manual,num_chron_refs,lang_orig,any_date,writing_start_month,written,dubious,dated_day,type,cancelled,reg_section,posthumous,published,_id,ent_num,dated,french_title,scraped,month_combined,more_info,english_title,month_manual,spanish_title,pub_day,year_manual,writing_start_day,writing_end_day,writing_end_month,writing_end_year,notes,writing_end_approx,Chronicle_OCR,auth,translation,dated_month,day_combined,dated_year,pub_month,pub_year,writing_start_year,title,ent_id,Misc_Txt_Index,writing_start_approx,link,german_title,M_involved,year_combined,chron_refs,sampled
ST/ME4 (ANAC) 148; MECW 18:262.,,"Camp. [E] (W) 1858: Feb c.18. (P) 1859: in NAC 4:312. N/s. (S) ST/ME4 (ANAC) 148; MECW 18:262. (++) In MEW 14:266-69. ->58:5,10.",,0,,0,,1858: Feb c.18.,,,,,E,,1859: in NAC 4:312. N/s.,ObjectId(630af2b05e934cb195acabd9),113,,,,,"In MEW 14:266-69. ->58:5,10.",,,,,,,,,,,,,,,,,,,,,Camp.,E0113,,,,,,,,
ST/ME4 (ANAC) 142; MECW 18:258.,,Buda. [E] (W) 1858: Feb c.ll. (P) 1859: in NAC 4:59. N/s. (S) ST/ME4 (ANAC) 142; MECW 18:258. (++) In MEW 14:25962. -»58:10.,,0,,0,,1858: Feb c.ll.,,,,,E,,1859: in NAC 4:59. N/s.,ObjectId(630af2b05e934cb195acabd0),107,,,,,In MEW 14:25962. -»58:10.,,,,,,,,,,,,,,,,,,,,,Buda.,E0107,,,,,,,,
,ST/ME18 (FIWI) 164; ST/ME45d (OC) 166; ST/M58 (OCM) 301.,"The British army in India. [Untitled article) [E] (W) 1858: June c.4. (P) June 26, in NYDT, #5361, p. 4de. Lead article; n/s. (Re) ST/ME18 (FIWI) 164; ST/ME45d (OC) 166; ST/M58 (OCM) 301. (++) In MEW 12:493-96. -»58:27.",,0,,0,,1858: June c.4.,,,,,E,,"June 26, in NYDT, #5361, p. 4de. Lead article; n/s.",ObjectId(630af2b05e934cb195acabc9),100,,,,,In MEW 12:493-96. -»58:27.,,,,,,,,,,,,,,,,,,,,,The British army in India. [Untitled article),E0100,,,,,,,,
,,"Cola di Rienzi. |G] Ditto. [Opera libretto] (W) Ca. turn of 1840/1841. Unfinished ms, unpubd. (P/P) 1974, in ST/E5. (Tr) MECW 3:537-68. (++) The extant ms comprises Act I, in three scenes; Act II, in three scenes; and Act 11, scenes 1 and 2; plus a revision of the first scene. -> 40:18; 41:3.",,0,,0,,"Ca. turn of 1840/1841. Unfinished ms, unpubd.",,,,,E,"1974, in ST/E5.",,ObjectId(630af2b05e934cb195acac02),149,,,,,"The extant ms comprises Act I, in three scenes; Act II, in three scenes; and Act 11, scenes 1 and 2; plus a revision of the first scene. -> 40:18; 41:3.",,,,,,,,,,,,,,MECW 3:537-68.,,,,,,,Cola di Rienzi. |G] Ditto. [Opera libretto],E0149,,,,,,,,
"MEGA I, 6:328, title at head conferred.",,"The commercial crisis in England— The Chartist movement—Ireland. [Fr] La crise commerciale en Angleterre—Mouvement Chartiste—Irlande. (W) 1847: Oct 23. (P) Oct 26, in La Réforme. N/t: n/s. (S) MEGA I, 6:328, title at head conferred. (Tr) MECW 6:307: ST/ME5 (AB) 59. (++) In MEW 4:325-27. ->47:42.",,0,,0,,1847: Oct 23.,,,,,E,,"Oct 26, in La Réforme. N/t: n/s.",ObjectId(630af2b05e934cb195acac06),151,,La crise commerciale en Angleterre—Mouvement Chartiste—Irlande.,,,In MEW 4:325-27. ->47:42.,,,,,,,,,,,,,,MECW 6:307: ST/ME5 (AB) 59.,,,,,,,The commercial crisis in England— The Chartist movement—Ireland.,E0151,,,,,,,,
MEW 5:44-47.,,"Conciliationist debates in Berlin. |G| Berliner Vereinbarungsdebatten. (D) 1848: June 6. (P) June 7, in NRZ. N/s. (S) MEW 5:44-47. (Tr) MECW 7:53 (“The agreement debates in Berlin”). —► 48:37.",,0,,1,,,,6,,,E,,"June 7, in NRZ. N/s.",ObjectId(630af2b05e934cb195acac10),160,1848: June 6.,,,Jun,,,,,,,,,,,,,,,MECW 7:53 (“The agreement debates in Berlin”). —► 48:37.,Jun,6,1848,,,,Conciliationist debates in Berlin. |G| Berliner Vereinbarungsdebatten.,E0160,,,,,,1848,,
,"In most modem edns of the main work; e.g., MECW 4:297-301 or ST/ME44b (OB) 336; also in ST/E7 (Henderson) 1:309. (+4-) In MEW 2:229-31. —E originally intended, on publ of the book in 1845, to have this address printed separately and sent to prominent English political and literary figures. —► 45:20.","-------------. [Dedication] To the working classes of Great-Britain. [E] (D) 1845: Mar 15. (P) Included in the 1st German edn of the book, and in the 1892 German edn. But omitted from the 1887 American edn and from the English edn of 1892. (Re) In most modem edns of the main work; e.g., MECW 4:297-301 or ST/ME44b (OB) 336; also in ST/E7 (Henderson) 1:309. (+4-) In MEW 2:229-31. —E originally intended, on publ of the book in 1845, to have this address printed separately and sent to prominent English political and literary figures. —► 45:20.",,0,,1,,,,15,,,E,,"Included in the 1st German edn of the book, and in the 1892 German edn. But omitted from the 1887 American edn and from the English edn of 1892.",ObjectId(630af2b05e934cb195acac1e),173,1845: Mar 15.,,,Mar,,,,,,,,,,,,,,,,Mar,15,1845,,,,-------------. [Dedication] To the working classes of Great-Britain.,E0173,,,,,,1845,,
"MEGA I, 4:337; MECW 4:212.",,"Continental socialism. [E] (W) 1844: Sep c.20. (P) Oct 5, in the New Moral World. N/t. Signed: Anglo-German. (S) MEGA I, 4:337; MECW 4:212. (++)InMEW 2:507-8. —This short article mainly quotes a letter from Barmen, but the framing intro and conclusion were also prob by E. -> 44:39.",,0,,0,,1844: Sep c.20.,,,,,E,,"Oct 5, in the New Moral World. N/t. Signed: Anglo-German.",ObjectId(630af2b05e934cb195acac29),183,,,,,"InMEW 2:507-8. —This short article mainly quotes a letter from Barmen, but the framing intro and conclusion were also prob by E. -> 44:39.",,,,,,,,,,,,,,,,,,,,,Continental socialism.,E0183,,,,,,,,
ST/E9 (E&L/Cor) 3:421; titled as at head.,,"Conversation with Frederick Engels. [Fr] Conversation avec Frédéric Engels. [Interview in Le Figaro.] (W) 1893: interview took place May 8. (P) May 13, in Le Figaro; title as at head. —May 20, in Le Socialiste; same title. (S) ST/E9 (E&L/Cor) 3:421; titled as at head. (Tr) ST/E10 (E&L/Cor) 3:388-94. (++) In MEW 22:538-43. —E wrote Sorge, May 17: “My views on German conditions you can see in the Figaro interview that I am sending you with this post. Like all interviews, here and there it is a little faded out in its wording, here and there there are gaps in the way it hangs together, but otherwise it is given correctly.’’ -> 93:25.",,0,,0,,1893: interview took place May 8.,,,,,E,,"May 13, in Le Figaro; title as at head. —May 20, in Le Socialiste; same title.",ObjectId(630af2b05e934cb195acac2b),185,,Conversation avec Frédéric Engels. [Interview in Le Figaro.],,,"In MEW 22:538-43. —E wrote Sorge, May 17: “My views on German conditions you can see in the Figaro interview that I am sending you with this post. Like all interviews, here and there it is a little faded out in its wording, here and there there are gaps in the way it hangs together, but otherwise it is given correctly.’’ -> 93:25.",,,,,,,,,,,,,,ST/E10 (E&L/Cor) 3:388-94.,,,,,,,Conversation with Frederick Engels.,E0185,,,,,,,,
MEW 6:452.,,"The counterrevolutionary plans in Berlin. [G] Die kontrerevolutionären Pläne in Berlin. (D) 1849: Apr 30. (P) May 1, in NRZ. N/s. (S) MEW 6:452. (Tr) MECW 9:370. ->49:23.",,0,,1,,,,30,,,E,,"May 1, in NRZ. N/s.",ObjectId(630af2b05e934cb195acac30),189,1849: Apr 30.,,,Apr,,,,,,,,,,,,,,,MECW 9:370. ->49:23.,Apr,30,1849,,,,The counterrevolutionary plans in Berlin.,E0189,,,,Die kontrerevolutionären Pläne in Berlin.,,1849,,
